#{"t_start": 1776329272.3720527, "env_id": "None"}
r,l,t
-103.225467,59,0.798872
-72.885759,40,0.807872
-71.131028,38,1.244834
-78.016383,39,1.470579
-191.088799,113,2.202103
-117.234257,61,2.556974
-73.987482,39,2.752348
-96.894,55,3.032608
-72.629553,41,3.276538
-686.201179,500,6.286427
-87.837002,47,6.576656
-83.572528,46,6.866018
-90.663609,45,7.184615
-129.796678,89,7.735376
-91.082806,49,8.034178
-97.099845,57,8.379095
-85.78193,46,8.711578
-584.946736,500,11.675571
-88.788454,50,11.924783
-95.831761,57,12.210071
-118.470179,65,12.560284
-89.565093,54,12.832222
-72.54003,38,13.029057
-604.548481,500,15.548522
-110.785944,60,15.871964
-76.424672,43,16.095281
-88.302596,49,16.345486
-116.339766,74,16.729146
-79.722934,48,17.062703
-130.963094,87,17.590693
-81.18098,47,17.91849
-91.021752,53,18.233733
-508.102093,500,21.341549
-107.048732,59,21.741501
-71.318667,37,21.960668
-87.648475,45,22.222409
-116.586658,69,22.653316
-105.828893,61,23.053328
-110.470319,70,23.486998
-85.680561,55,23.853045
-97.142149,58,24.249375
-553.827293,500,27.50974
-358.277969,282,29.176873
-152.667383,113,29.78549
-99.412709,59,30.104465
-87.019109,49,30.389208
-79.798171,51,30.646254
-121.98,70,31.000166
-82.041831,47,31.254749
-130.394505,85,31.685362
-592.805925,500,34.495818
-103.710718,69,34.894141
-572.118006,500,37.839031
-250.070513,190,38.968112
-117.009779,77,39.457029
-123.783397,85,39.890327
-69.447496,51,40.249082
-91.892533,54,40.614277
-76.161652,46,40.909673
-89.841628,56,41.252272
-81.093034,43,41.532093
-87.431948,48,41.808004
-94.433047,49,42.110759
-140.284865,100,42.705565
-136.543967,91,43.260502
-109.441782,74,43.706304
-170.212341,121,44.497479
-657.540435,389,47.029882
-133.419205,99,47.628131
-185.223318,141,48.480459
-85.313957,57,48.814847
-187.860809,145,49.746878
-137.599662,100,50.410453
-79.834301,54,50.77107
-487.202155,500,53.95405
-492.222735,500,57.016735
-493.267532,500,60.227447
-132.098461,78,61.267047
-75.508418,52,61.656599
-181.278314,119,62.414549
-118.40901,79,62.933789
-76.765269,43,63.185514
-141.724418,91,63.732163
-85.141365,49,64.026369
-142.300234,98,64.622802
-366.990558,275,66.465251
-501.938216,500,69.78037
-503.853579,500,73.016317
-103.978015,62,73.474665
-505.926874,500,76.46553
-494.562173,500,79.668431
-501.484701,500,82.926279
-503.217103,500,86.167955
-489.603294,500,89.081084
-489.654583,500,91.843744
-490.396134,500,94.754775
-491.930715,500,97.563226
-495.434698,500,100.581828
-494.944206,500,103.401727
-486.801399,500,106.303945
-489.029946,500,109.80121
-528.63523,467,112.276117
-522.668446,500,115.959278
-533.338587,500,119.113669
-560.54928,500,121.885593
-580.955232,500,125.284624
-605.177096,500,127.914098
-557.775865,500,130.886985
-96.959702,57,131.251101
-540.795117,500,134.213605
-77.932279,47,134.488271
-75.465514,40,134.719415
-76.522335,35,134.941488
-83.37095,47,135.219506
-69.33197,46,135.491178
-557.133237,500,138.473651
-83.921678,50,138.795162
-193.250249,147,139.631098
-69.320224,34,139.812333
-90.110202,43,140.046041
-72.996288,42,140.344039
-85.734783,48,140.624562
-151.455864,102,141.220285
-76.86144,40,141.454479
-82.821169,47,141.742493
-562.191702,482,144.55109
-82.308344,47,144.819642
-447.735571,370,146.961632
-77.307079,41,147.258799
-513.978337,500,150.059588
-89.752869,51,150.330641
-73.720356,39,150.543332
-82.31095,54,150.910022
-138.571983,86,151.416317
-68.68071,36,151.62662
-73.904716,40,151.862372
-81.698398,50,152.18301
-67.25982,31,152.366007
-73.840101,39,152.594512
-530.466439,500,155.419969
-71.278573,40,155.658105
